,stock1,stock2,signal,max_correlation,max_lag
100,JPM,PRU,sm_pct_chg,1101.0273446716092,-1.0
101,BAC,PRU,sm_pct_chg,1101.024923059515,0.0
102,AMT,SBAC,sm_pct_chg,1099.3751061258909,0.0
103,RY,MFC,sm_pct_chg,1099.1524607066779,0.0
104,NEE,AWK,sm_pct_chg,1098.044172795962,-1.0
105,C,PRU,sm_pct_chg,1097.9493183460017,0.0
106,BAC,TFC,sm_pct_chg,1097.3404171251118,0.0
107,BP,SU,sm_pct_chg,1096.6502220041282,-1.0
108,PRU,MFC,sm_pct_chg,1096.6252620168289,0.0
109,ORLY,AZO,sm_pct_chg,1096.362997455201,0.0
110,CVX,SU,sm_pct_chg,1095.5838915906484,0.0
111,COP,SU,sm_pct_chg,1094.8676154746963,-1.0
112,XOM,EOG,sm_pct_chg,1094.0113073433045,0.0
113,LRCX,KLAC,sm_pct_chg,1093.8662338498043,0.0
114,MET,MFC,sm_pct_chg,1093.0579049147582,0.0
115,UNH,HUM,sm_pct_chg,1092.9786143661358,0.0
116,EMR,DOV,sm_pct_chg,1092.5874098870222,0.0
117,CVX,COP,sm_pct_chg,1091.8316050402887,0.0
118,TJX,ROST,sm_pct_chg,1091.1221048727928,1.0
119,MET,FITB,sm_pct_chg,1090.7749956564594,0.0
120,PH,ROK,sm_pct_chg,1090.6398514845728,0.0
121,HON,DOV,sm_pct_chg,1090.6108980602207,0.0
122,PNC,PRU,sm_pct_chg,1089.6250412607264,0.0
123,MSFT,INTU,sm_pct_chg,1088.8867094405136,-1.0
124,BAC,GS,sm_pct_chg,1088.3769672477997,0.0
125,BSBR,BBDO,sm_pct_chg,1088.3537483952978,0.0
126,BAC,MS,sm_pct_chg,1088.3486221715607,0.0
127,XOM,SU,sm_pct_chg,1088.245010940003,0.0
128,C,PNC,sm_pct_chg,1086.409278512549,1.0
129,COP,CNQ,sm_pct_chg,1086.0388957120615,0.0
130,SLB,DVN,sm_pct_chg,1085.8695779149652,0.0
131,DVN,CVE,sm_pct_chg,1085.091845045877,0.0
132,BNS,MFC,sm_pct_chg,1084.689349556273,0.0
133,ASML,AMAT,sm_pct_chg,1084.6215230219154,0.0
134,COF,SYF,sm_pct_chg,1084.5803916727646,0.0
135,EOG,HES,sm_pct_chg,1084.4066769432263,0.0
136,EPD,KMI,sm_pct_chg,1084.4018460685243,0.0
137,PRU,AMP,sm_pct_chg,1084.244137262443,0.0
138,JPM,MET,sm_pct_chg,1083.6995059393275,0.0
139,TTE,SU,sm_pct_chg,1083.3195144755273,-2.0
140,EPD,ET,sm_pct_chg,1083.0293142732628,-1.0
141,TTE,EQNR,sm_pct_chg,1082.8639314545844,-1.0
142,MSFT,SNPS,sm_pct_chg,1082.8185902772211,0.0
143,RY,SLF,sm_pct_chg,1082.731953821768,0.0
144,DFS,FITB,sm_pct_chg,1081.8448320685502,1.0
145,MS,C,sm_pct_chg,1081.3010630983076,0.0
146,ETN,PH,sm_pct_chg,1080.5498499413784,1.0
147,DUK,XEL,sm_pct_chg,1080.5257133310329,0.0
148,MSFT,AMZN,sm_pct_chg,1079.2111105340064,-1.0
149,ADBE,NOW,sm_pct_chg,1079.1050513266582,0.0
150,LYG,BCS,sm_pct_chg,1079.073335091381,0.0
151,AEP,ES,sm_pct_chg,1079.0486130005102,0.0
152,DUK,AEP,sm_pct_chg,1078.837066058662,0.0
153,BP,EQNR,sm_pct_chg,1078.5634179722,0.0
154,INTU,EPAM,sm_pct_chg,1078.4897391376967,0.0
155,ADP,PAYX,sm_pct_chg,1077.8361149477796,0.0
156,EPD,MPLX,sm_pct_chg,1076.9605054667825,0.0
157,EOG,SU,sm_pct_chg,1076.6804747015651,-1.0
158,INTU,SNPS,sm_pct_chg,1076.5821502839576,1.0
159,PNC,COF,sm_pct_chg,1076.2548600537157,-1.0
160,JPM,GS,sm_pct_chg,1075.9047550519456,0.0
161,E,SU,sm_pct_chg,1075.871236074612,-2.0
162,TFC,PRU,sm_pct_chg,1075.7421192809638,0.0
163,BCE,TU,sm_pct_chg,1075.483165532079,0.0
164,ETN,AME,sm_pct_chg,1074.7736206321788,1.0
165,PH,SWK,sm_pct_chg,1074.4180859514358,0.0
166,JPM,COF,sm_pct_chg,1073.0193938904436,-1.0
167,MA,FIS,sm_pct_chg,1072.9571078483807,0.0
168,ITW,SWK,sm_pct_chg,1072.7241546393325,0.0
169,BK,NTRS,sm_pct_chg,1072.6834187761694,0.0
170,CNQ,DVN,sm_pct_chg,1072.2674468335222,0.0
171,XOM,OXY,sm_pct_chg,1072.2387098757667,-1.0
172,SNPS,ANSS,sm_pct_chg,1072.190005247286,-1.0
173,XOM,DVN,sm_pct_chg,1071.929115358082,0.0
174,SU,CVE,sm_pct_chg,1071.7365990459582,0.0
175,ES,WEC,sm_pct_chg,1071.7266699393917,0.0
176,MS,PRU,sm_pct_chg,1071.482804218946,0.0
177,BAC,NTRS,sm_pct_chg,1071.4100768528124,0.0
178,EMR,PRU,sm_pct_chg,1070.2681883545624,0.0
179,ASML,LRCX,sm_pct_chg,1070.247859643126,0.0
180,TD,MFC,sm_pct_chg,1070.05901440944,0.0
181,C,FITB,sm_pct_chg,1070.0312770344729,0.0
182,AEP,WEC,sm_pct_chg,1069.2727469620945,0.0
183,WEC,ED,sm_pct_chg,1068.9875471315206,0.0
184,MCHP,ON,sm_pct_chg,1068.7839938298341,0.0
185,TFC,COF,sm_pct_chg,1068.4884848989511,0.0
186,RY,C,sm_pct_chg,1068.382905881058,0.0
187,MET,AFL,sm_pct_chg,1068.3460786180644,0.0
188,XOM,SLB,sm_pct_chg,1068.0890354377034,0.0
189,ITW,ETN,sm_pct_chg,1067.9123237254307,-1.0
190,GS,C,sm_pct_chg,1067.7192016787058,0.0
191,UBS,CS,sm_pct_chg,1067.6445703542645,-1.0
192,MUFG,MFG,sm_pct_chg,1067.473374553443,0.0
193,XEL,ED,sm_pct_chg,1067.0979128831978,-1.0
194,BCS,NWG,sm_pct_chg,1066.86131431943,0.0
195,APH,AME,sm_pct_chg,1066.4896015901613,0.0
196,ROK,DOV,sm_pct_chg,1066.3836487920157,0.0
197,CVX,BP,sm_pct_chg,1066.2159411996158,1.0
198,TEL,AME,sm_pct_chg,1066.1877784027645,0.0
199,DUK,ES,sm_pct_chg,1065.7279672895897,0.0
